movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genreNm,director,actor,company
20184047,토이 스토리 4,Toy Story 4,,전체관람가,20190620,99,애니메이션,조시 쿨리,톰 행크스,월트디즈니컴퍼니코리아 유한책임회사
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,15세이상관람가,20190619,117,액션,강윤성,김래원,영화사 필름몬스터
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,청소년관람불가,20190626,131,액션,채드 스타헬스키,키아누 리브스,TCO(주)더콘텐츠온
20190885,사탄의 인형,Child's Play,,청소년관람불가,20190620,90,공포(호러),라스 클리브버그,마크 해밀,(주)이수C&E
20199951,애나벨 집으로,Annabelle Comes Home,,15세이상관람가,20190626,105,공포(호러),게리 도버먼,패트릭 윌슨,워너브러더스 코리아(주)
20182585,비스트,The Beast,,15세이상관람가,20190626,130,범죄,이정호,이성민,(주)스튜디오앤뉴
20192022,마담 싸이코,Greta,,15세이상관람가,20190626,98,공포(호러),닐 조단,클로이 모레츠,(주)쇼박스
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,12세이상관람가,20190702,129,액션,존 왓츠,톰 홀랜드,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20192591,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,12세이상관람가,,,액션,존 왓츠,톰 홀랜드,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20185353,기방도령,HOMME FATALE,,15세이상관람가,20190710,110,코미디,남대중,이준호,주식회사 브레인샤워
20185986,진범,The Culprit,,15세이상관람가,20190710,100,스릴러,고정욱,송새벽,(주)곰픽쳐스
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,劇場版おしりたんてい：カレーなる事件,전체관람가,20190711,68,애니메이션,히라야마 미호,김은아,(주)넥스트엔터테인먼트월드(NEW)
20192151,미드소마,Midsommar,,청소년관람불가,20190711,147,공포(호러),아리 애스터,플로렌스 퓨,(주)팝엔터테인먼트
