movieNm,movieCd,image,link,userRating
루이스,20189268,https://ssl.pstatic.net/imgmovie/mdi/mit110/1851/185166_P01_162115.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185166,0.00
원더풀 고스트,20167903,https://ssl.pstatic.net/imgmovie/mdi/mit110/1521/152156_P76_134247.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152156,6.63
에그엔젤 코코밍: 두근두근 핼러윈 파티,20180167,https://ssl.pstatic.net/imgmovie/mdi/mit110/1784/178426_P18_102633.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178426,5.33
극장판 뽀잉: 슈퍼 변신의 비밀,20189746,https://ssl.pstatic.net/imgmovie/mdi/mit110/1784/178445_P01_100308.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178445,9.00
베놈,20177221,https://ssl.pstatic.net/imgmovie/mdi/mit110/1194/119428_P08_114709.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=119428,7.90
암수살인,20179189,https://ssl.pstatic.net/imgmovie/mdi/mit110/1671/167105_P28_103614.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167105,8.32
곰돌이 푸 다시 만나 행복해,20189123,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168023_P15_161116.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168023,8.95
셜록 놈즈,20189462,https://ssl.pstatic.net/imgmovie/mdi/mit110/1586/158620_P19_101107.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158620,8.51
미쓰백,20189067,https://ssl.pstatic.net/imgmovie/mdi/mit110/1553/155356_P29_104216.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155356,9.10
스타 이즈 본,20180523,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168050_P19_100458.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168050,9.15
다이노 어드벤처2: 육해공 공룡 대백과,20180770,https://ssl.pstatic.net/imgmovie/mdi/mit110/1784/178402_P16_115047.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178402,5.15
에브리데이,20188661,https://ssl.pstatic.net/imgmovie/mdi/mit110/1708/170824_P15_182407.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=170824,7.53
퍼스트맨,20186321,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168058_P18_101211.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168058,6.95
배반의 장미,20184678,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174807_P19_111000.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174807,5.35
펭귄 하이웨이,20187521,https://ssl.pstatic.net/imgmovie/mdi/mit110/1773/177381_P01_144141.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177381,6.63
액슬,20180628,https://ssl.pstatic.net/imgmovie/mdi/mit110/1674/167481_P05_145414.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167481,7.03
창궐,20174981,https://ssl.pstatic.net/imgmovie/mdi/mit110/1604/160487_P48_113750.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=160487,5.07
크레이지 리치 아시안,20182403,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168047_P06_140254.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168047,7.05
해리포터와 마법사의 돌,20010291,https://ssl.pstatic.net/imgmovie/mdi/mit110/0306/30688_P28_142632.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=30688,9.22
완벽한 타인,20177538,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167638_P71_133542.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167638,8.63
보헤미안 랩소디,20185485,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156464_P49_182103.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156464,9.42
벽 속에 숨은 마법시계,20181404,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164155_P03_122329.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164155,6.03
할로윈,20180987,https://ssl.pstatic.net/imgmovie/mdi/mit110/1708/170879_P03_161546.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=170879,6.30
동네사람들,20170513,https://ssl.pstatic.net/imgmovie/mdi/mit110/1666/166610_P58_154049.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=166610,5.33
바울,20181171,https://ssl.pstatic.net/imgmovie/mdi/mit110/1736/173692_P12_102159.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173692,9.17
여곡성,20179006,https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171750_P05_173050.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171750,4.21
